Date,Home Team,Score,Away Team
12-08-2023,Arsenal,2 - 1,Nott'm Forest
26-08-2023,Arsenal,2 - 2,Fulham
03-09-2023,Arsenal,3 - 1,Man United
24-09-2023,Arsenal,2 - 2,Tottenham
08-10-2023,Arsenal,1 - 0,Man City
28-10-2023,Arsenal,5 - 0,Sheffield United
11-11-2023,Arsenal,3 - 1,Burnley
02-12-2023,Arsenal,2 - 1,Wolves
17-12-2023,Arsenal,2 - 0,Brighton
28-12-2023,Arsenal,0 - 2,West Ham
20-01-2024,Arsenal,5 - 0,Crystal Palace
04-02-2024,Arsenal,3 - 1,Liverpool
24-02-2024,Arsenal,4 - 1,Newcastle
09-03-2024,Arsenal,2 - 1,Brentford
03-04-2024,Arsenal,2 - 0,Luton
14-04-2024,Arsenal,? - ?,Aston Villa
21-08-2023,Crystal Palace,0 - 1,Arsenal
17-09-2023,Everton,0 - 1,Arsenal
30-09-2023,Bournemouth,0 - 4,Arsenal
21-10-2023,Chelsea,2 - 2,Arsenal
04-11-2023,Newcastle,1 - 0,Arsenal
25-11-2023,Brentford,0 - 1,Arsenal
05-12-2023,Luton,3 - 4,Arsenal
09-12-2023,Aston Villa,1 - 0,Arsenal
23-12-2023,Liverpool,1 - 1,Arsenal
31-12-2023,Fulham,2 - 1,Arsenal
30-01-2024,Nott'm Forest,1 - 2,Arsenal
11-02-2024,West Ham,0 - 6,Arsenal
17-02-2024,Burnley,0 - 5,Arsenal
04-03-2024,Sheffield United,0 - 6,Arsenal
31-03-2024,Man City,0 - 0,Arsenal
06-04-2024,Brighton,0 - 3,Arsenal
20-08-2023,Aston Villa,4 - 0,Everton
16-09-2023,Aston Villa,3 - 1,Crystal Palace
30-09-2023,Aston Villa,6 - 1,Brighton
22-10-2023,Aston Villa,4 - 1,West Ham
29-10-2023,Aston Villa,3 - 1,Luton
12-11-2023,Aston Villa,3 - 1,Fulham
06-12-2023,Aston Villa,1 - 0,Man City
09-12-2023,Aston Villa,1 - 0,Arsenal
22-12-2023,Aston Villa,1 - 1,Sheffield United
30-12-2023,Aston Villa,3 - 2,Burnley
30-01-2024,Aston Villa,1 - 3,Newcastle
11-02-2024,Aston Villa,1 - 2,Man United
24-02-2024,Aston Villa,4 - 2,Nott'm Forest
10-03-2024,Aston Villa,0 - 4,Tottenham
30-03-2024,Aston Villa,2 - 0,Wolves
06-04-2024,Aston Villa,3 - 3,Brentford
12-08-2023,Newcastle,5 - 1,Aston Villa
27-08-2023,Burnley,1 - 3,Aston Villa
03-09-2023,Liverpool,3 - 0,Aston Villa
24-09-2023,Chelsea,0 - 1,Aston Villa
08-10-2023,Wolves,1 - 1,Aston Villa
05-11-2023,Nott'm Forest,2 - 0,Aston Villa
26-11-2023,Tottenham,1 - 2,Aston Villa
03-12-2023,Bournemouth,2 - 2,Aston Villa
17-12-2023,Brentford,1 - 2,Aston Villa
26-12-2023,Man United,3 - 2,Aston Villa
14-01-2024,Everton,0 - 0,Aston Villa
03-02-2024,Sheffield United,0 - 5,Aston Villa
17-02-2024,Fulham,1 - 2,Aston Villa
02-03-2024,Luton,2 - 3,Aston Villa
17-03-2024,West Ham,1 - 1,Aston Villa
03-04-2024,Man City,4 - 1,Aston Villa
14-04-2024,Arsenal,? - ?,Aston Villa
12-08-2023,Bournemouth,1 - 1,West Ham
26-08-2023,Bournemouth,0 - 2,Tottenham
17-09-2023,Bournemouth,0 - 0,Chelsea
30-09-2023,Bournemouth,0 - 4,Arsenal
21-10-2023,Bournemouth,1 - 2,Wolves
28-10-2023,Bournemouth,2 - 1,Burnley
11-11-2023,Bournemouth,2 - 0,Newcastle
03-12-2023,Bournemouth,2 - 2,Aston Villa
26-12-2023,Bournemouth,3 - 0,Fulham
21-01-2024,Bournemouth,0 - 4,Liverpool
04-02-2024,Bournemouth,1 - 1,Nott'm Forest
24-02-2024,Bournemouth,0 - 1,Man City
09-03-2024,Bournemouth,2 - 2,Sheffield United
13-03-2024,Bournemouth,4 - 3,Luton
30-03-2024,Bournemouth,2 - 1,Everton
02-04-2024,Bournemouth,1 - 0,Crystal Palace
13-04-2024,Bournemouth,? - ?,Man United
19-08-2023,Liverpool,3 - 1,Bournemouth
02-09-2023,Brentford,2 - 2,Bournemouth
24-09-2023,Brighton,3 - 1,Bournemouth
07-10-2023,Everton,3 - 0,Bournemouth
04-11-2023,Man City,6 - 1,Bournemouth
25-11-2023,Sheffield United,1 - 3,Bournemouth
06-12-2023,Crystal Palace,0 - 2,Bournemouth
09-12-2023,Man United,0 - 3,Bournemouth
23-12-2023,Nott'm Forest,2 - 3,Bournemouth
31-12-2023,Tottenham,3 - 1,Bournemouth
01-02-2024,West Ham,1 - 1,Bournemouth
10-02-2024,Fulham,3 - 1,Bournemouth
17-02-2024,Newcastle,2 - 2,Bournemouth
03-03-2024,Burnley,0 - 2,Bournemouth
06-04-2024,Luton,2 - 1,Bournemouth
13-08-2023,Brentford,2 - 2,Tottenham
26-08-2023,Brentford,1 - 1,Crystal Palace
02-09-2023,Brentford,2 - 2,Bournemouth
23-09-2023,Brentford,1 - 3,Everton
21-10-2023,Brentford,3 - 0,Burnley
04-11-2023,Brentford,3 - 2,West Ham
25-11-2023,Brentford,0 - 1,Arsenal
02-12-2023,Brentford,3 - 1,Luton
17-12-2023,Brentford,1 - 2,Aston Villa
27-12-2023,Brentford,1 - 4,Wolves
20-01-2024,Brentford,3 - 2,Nott'm Forest
05-02-2024,Brentford,1 - 3,Man City
17-02-2024,Brentford,1 - 4,Liverpool
02-03-2024,Brentford,2 - 2,Chelsea
30-03-2024,Brentford,1 - 1,Man United
03-04-2024,Brentford,0 - 0,Brighton
13-04-2024,Brentford,? - ?,Sheffield United
19-08-2023,Fulham,0 - 3,Brentford
16-09-2023,Newcastle,1 - 0,Brentford
01-10-2023,Nott'm Forest,1 - 1,Brentford
07-10-2023,Man United,2 - 1,Brentford
28-10-2023,Chelsea,0 - 2,Brentford
12-11-2023,Liverpool,3 - 0,Brentford
06-12-2023,Brighton,2 - 1,Brentford
09-12-2023,Sheffield United,1 - 0,Brentford
30-12-2023,Crystal Palace,3 - 1,Brentford
31-01-2024,Tottenham,3 - 2,Brentford
10-02-2024,Wolves,0 - 2,Brentford
20-02-2024,Man City,1 - 0,Brentford
26-02-2024,West Ham,4 - 2,Brentford
